カメラ名,メーカー名,発売年,Wikipedia_URL,統合処理日,年度タグ,重複チェックメモ,センサー種別,センサーサイズ,解像度,重量,発売年月,ISO感度,連写性能,価格,レンズマウント,記録メディア,Wikipedia要約,画像URL,データ品質スコア
Fujifilm X-E3,Fujifilm,2017,https://en.wikipedia.org/wiki/Fujifilm_X-E3,2025-08-27T22:49:37.370101,2017,,CMOS,,6016×4016,337g,,,,,[[Fujifilm X-mountFujifilm X]],SD Card (UHS-I),"The Fujifilm X-E3 is a digital rangefinder-style mirrorless camera announced by Fujifilm on September 7, 2017. It is part of the company's X-series range of cameras.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Fujifilm_X-E3_09_Oct_2017a.jpg/330px-Fujifilm_X-E3_09_Oct_2017a.jpg,3
Fujifilm X-T20,Fujifilm,2017,https://en.wikipedia.org/wiki/Fujifilm_X-T20,2025-08-27T22:49:37.370103,2017,,CMOS,,6016×4016,,2017 January 17,,,,[[Fujifilm X-mountFujifilm X]],SD Card (UHS-I),"The Fujifilm X-T20 is a mirrorless interchangeable-lens camera announced by Fujifilm on January 19, 2017. The X-T20 is a successor to the X-T10, which was released in 2015, with a number of iterative refinements and enhancements over it.
The X-T30 succeeds the X-T20. The new camera was announced on February 14, 2019.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Fujifilm_X-T20.jpg/330px-Fujifilm_X-T20.jpg,3
Leica CL (Typ 7323),Leica,2017,https://en.wikipedia.org/wiki/Leica_CL_(Typ_7323),2025-08-27T22:49:37.370106,2017,,CMOS,23.6×15.7mm,"6,000×4,000",,November 2017,,,,Leica [[Leica CameraL mount .28autofocus MILC.29 seriesL mount]],,"The Leica CL is an APS-C mirrorless system camera announced by Leica Camera AG in November, 2017.
The CL is a member of Leica's L-mount family of cameras, which began with the discontinued T/TL, and is currently shared with the TL2 and SL cameras. It shares the same sensor as the TL2, and is primarily differentiated from its sister model by its user interface, which focuses on physical controls as opposed to touchscreen, and presence of an integrated viewfinder.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/LEICA_CL_in_the_camera_tripod.jpg/330px-LEICA_CL_in_the_camera_tripod.jpg,4
Leica M10,Leica,2017,https://en.wikipedia.org/wiki/Leica_M10,2025-08-27T22:49:37.370108,2017,,CMOS,,,,,,,"$6,495",,"[[Secure DigitalSD]], [[Secure DigitalSDHCSDHC]], [[Secure DigitalSDXCSDXC]]","The Leica M10 is a full-frame digital rangefinder camera in Leica Camera AG's rangefinder M series. It accepts Leica M-mount lenses. The camera model was introduced on 19 January 2017. It is a successor to the Leica M (Typ 240); and has similarities to and differences from the Leica M (Typ 240), Leica M (Typ 262), and Leica M Monochrom. There are five variants of the M10 line—the M10, M10-P, M10-D, and M10 Monochrom and M10-R.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Leica_M10_black.jpg/330px-Leica_M10_black.jpg,2
Leica TL2,Leica,2017,https://en.wikipedia.org/wiki/Leica_TL2,2025-08-27T22:49:37.370110,2017,,CMOS,,24MP,,10 July 2017,,,,Leica [[Leica CameraL mount .28autofocus MILC.29 seriesL mount]],,The Leica TL2 is a digital mirrorless interchangeable lens camera  with a Leica L-mount announced by Leica Camera on 10 July 2017.,,3
Nikon D850,Nikon,2017,https://en.wikipedia.org/wiki/Nikon_D850,2025-08-27T22:49:37.370112,2017,,CMOS,,,,24 August 2017,,,,,,"The Nikon D850 is a professional-grade full-frame digital single-lens reflex camera (DSLR) produced by Nikon. The camera was officially announced on July 25, 2017 (the 100th anniversary of Nikon's founding), launched on August 24, 2017, and first shipped on September 8, 2017. Nikon announced it could not fill the preorders on August 28, 2017 and filled less than 10% of preorders on the first shipping day. It is the successor to the Nikon D810.
The D850 is the first Nikon DSLR featuring a back-il",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/20171009_D850_front.jpg/330px-20171009_D850_front.jpg,2
Nikon D7500,Nikon,2017,https://en.wikipedia.org/wiki/Nikon_D7500,2025-08-27T22:49:37.370114,2017,,CMOS,,,,,,,,,,"The Nikon D7500 is a 20.9-megapixel digital single-lens reflex camera using an APS-C sensor. It was announced by Nikon Corporation on 12 April 2017, and started shipping on 2 June 2017. It is the successor to the Nikon D7200 as Nikon's DX format midrange DSLR.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Nikon_D7500_%28retouched%29.jpg/330px-Nikon_D7500_%28retouched%29.jpg,1
Olympus OM-D E-M10 Mark III,Olympus,2017,https://en.wikipedia.org/wiki/Olympus_OM-D_E-M10_Mark_III,2025-08-27T22:49:37.370117,2017,,,,,,,,,,,,"The Olympus OM-D E-M10 Mark III is a digital mirrorless interchangeable-lens camera released by Olympus Corporation in September 2017. 
It succeeded the Olympus OM-D E-M10 Mark II, although it did not offer much of a hardware upgrade, instead focusing on an easier photography experience.
Critics pointed out that the 16 megapixel sensor seemed dated at the time of the camera's release.
The E-M10 Mark III won a Japan Parenting Award 2017.

",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Olympus_OM-D_E-M10_Mark_III_27_Mar_2019a.jpg/330px-Olympus_OM-D_E-M10_Mark_III_27_Mar_2019a.jpg,0
Olympus Tough TG-5,Olympus,2017,https://en.wikipedia.org/wiki/Olympus_Tough_TG-5,2025-08-27T22:49:37.370119,2017,,CMOS,,4000×3000,250 g,,,,,,,"The Olympus Tough TG-5 is a weatherised digital compact camera announced by Olympus Corporation on May 17, 2017. It differs from its predecessor, the Olympus Tough TG-4, by including a new sensor and processor, advanced tracking capabilities, and 4K video capture.
The TG-5 is technically very similar to the Olympus TG-4. The physical dimensions (length x width x depth) of the TG-4 and the TG-5 are identical. In May 2019, the camera was superseded by the Olympus Tough TG-6.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Olympus_Tough%21_TG-5.jpg/330px-Olympus_Tough%21_TG-5.jpg,3
Panasonic Lumix DC-G9,Panasonic,2017,https://en.wikipedia.org/wiki/Panasonic_Lumix_DC-G9,2025-08-27T22:49:37.370121,2017,,CMOS,,5184×3888,650 g,December 2017,ISO 200-25600,,,[[Micro Four Thirds system]] mount,,"The Panasonic Lumix DC-G9 is a Micro Four Thirds mirrorless interchangeable lens camera body announced by Panasonic at the end of 2017.
The Panasonic G9 is a more still-centric variant of the Panasonic Lumix DC-GH5: it can shoot up to 20 pictures per second in full resolution and with continuous focusing, interruption-free live view as well as raw recording. Furthermore, it shows a larger viewfinder image.

The G9 offers an 80-megapixel high-resolution mode, where eight 20-megapixel shots are ta",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Panasonic.Lumix.DC-G9.jpg/330px-Panasonic.Lumix.DC-G9.jpg,5
Panasonic Lumix DC-GH5,Panasonic,2017,https://en.wikipedia.org/wiki/Panasonic_Lumix_DC-GH5,2025-08-27T22:49:37.370123,2017,,CMOS,,5184×3888,725 g,March 2017,ISO 200-25600,,,[[Micro Four Thirds system]] mount,,"The Panasonic Lumix DC-GH5 is a Micro Four Thirds mirrorless interchangeable lens camera body announced by Panasonic on 4 January 2017.
It is the first mirrorless camera capable of shooting 4K resolution video with 10-bit color with 4:2:2 chroma subsampling, along with recording in 4K 60p or 50p (but only in 8 bit). It also captures both 4K and Full HD without time limits. On September 28, 2017, Panasonic released firmware update 2.0 which added support for hybrid log–gamma (HLG) recording, alon",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Panasonic.Lumix.DC-GH5.jpg/330px-Panasonic.Lumix.DC-GH5.jpg,5
Pentax KP,Pentax,2017,https://en.wikipedia.org/wiki/Pentax_KP,2025-08-27T22:49:37.370126,2017,,,,,,,,,,,,"The Pentax KP is a 24 megapixel compact APS-C AA-filterless digital SLR camera announced by Ricoh on January 25, 2017. It features a PRIME IV image processor with an ""image accelerator unit"" that supports its operation up to ISO 819,200. It has a 1/6000s conventional and 1/24,000s electronic shutter (available in Live View). In terms of bracketing modes, it adds depth of field and shutter speed bracketing. The Pentax KP uses the Pentax K-mount interchangeable lens system.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Pentax_KP_jm26519.jpg/330px-Pentax_KP_jm26519.jpg,0
Sony α7R III,Sony,2017,https://en.wikipedia.org/wiki/Sony_α7R_III,2025-08-27T22:49:37.370131,2017,,CMOS,,42MP,,,ISO 100–32000,,,[[Sony E-mount]],,"The Sony α7R III (model ILCE-7RM3) is a full-frame mirrorless interchangeable-lens camera manufactured by Sony. It was announced on 25 October 2017 as the successor to the Sony α7R II launched two years prior. The camera shares many features with the α7R II, including the same 42.2 MP resolution for still photography. It was superseded by the Sony α7R IV in July 2019.
The camera does not include an optical low-pass (anti-aliasing) filter.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Sony_Alpha_ILCE-7RM3_full_frame_camera_with_lens.jpeg/330px-Sony_Alpha_ILCE-7RM3_full_frame_camera_with_lens.jpeg,3
Sony α9,Sony,2017,https://en.wikipedia.org/wiki/Sony_α9,2025-08-27T22:49:37.370133,2017,,CMOS,,6000×4000,,,,,"$4,499",,"Dual memory card slots. α9 supports [[Memory Stick]] Pro Duo, Pro-HG Duo, [[SD cardSD]], [[SDHC]], [[SDXC]] α9 II supports only SD formats. Slot 1 - SD (UHS-I/II compliant). Slot 2 - Multi slot for Memory Stick Duo/SD (UHS-I compliant) on α9 SD (UHS-1/II compliant) on α9 II","The Sony α9 (the α is sometimes spelled out as Alpha), Model ILCE-9, is a full-frame mirrorless interchangeable-lens camera. It was Sony's flagship camera as of 2017. The camera is not the successor to the α7 line of digital cameras but supplements it. Announced on 19 April 2017, the α9 is characterized by Sony as a true professional mirrorless camera system. The α9 is being compared with the Nikon D5 and the Canon EOS-1D X Mark II.
Sony initially priced the α9 at $4,499 with an availability dat",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sony_Alpha_A9_DSCF0221_%2834482667712%29.jpg/330px-Sony_Alpha_A9_DSCF0221_%2834482667712%29.jpg,3
Canon EOS 2000D,Canon,2018,https://en.wikipedia.org/wiki/Canon_EOS_2000D,2025-08-27T22:49:37.889533,2018,,CMOS,,,,,,,,,[[Secure DigitalSD]]/SDHC/SDXC card (Does not exploit UHS-I bus),"The Canon EOS 2000D, known as the Rebel T7 in the Americas, as the Kiss X90 in Japan and as the 1500D in southeast Asia, is a 24.0 megapixels digital single-lens reflex camera (DSLR) made by Canon. It was announced on February 25, 2018 with a suggested retail price of US$549.99 including the EF-S 18-55 f/3.5-5.6 IS II lens.
The 2000D is an entry-level DSLR that supersedes the EOS 1300D. A key-added-feature was the introduction of the new 24.0 megapixels sensor.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/The_Canon_EOS_Rebel_T7_%282000D%29_Sitting_on_a_Park_Bench_3_%28cropped%29.jpg/330px-The_Canon_EOS_Rebel_T7_%282000D%29_Sitting_on_a_Park_Bench_3_%28cropped%29.jpg,1
Canon EOS 4000D,Canon,2018,https://en.wikipedia.org/wiki/Canon_EOS_4000D,2025-08-27T22:49:37.889552,2018,,,,,,,,,,,,"The Canon EOS 4000D is an 18.0 megapixels digital single-lens reflex camera (DSLR) made by Canon. It was announced on 25 February 2018 with a suggested retail price of €399 including an EF-S 18-55 f/3.5-5.6 III lens. It is also known as the EOS 3000D in some parts of the Asia Pacific region and the EOS Rebel T100 in North America.
The 4000D is an entry-level DSLR that has been optimized to sell at a low retail price. It replaces the EOS 1300D in the respect that it is the Canon DSLR with the low",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Canon_EOS_4000D_6463.jpg/330px-Canon_EOS_4000D_6463.jpg,0
Canon EOS M50,Canon,2018,https://en.wikipedia.org/wiki/Canon_EOS_M50,2025-08-27T22:49:37.889555,2018,,,,,,,,,,,,"The Canon EOS M50, called Canon EOS Kiss M in Japan, is a digital mirrorless interchangeable-lens camera announced by Canon on February 25, 2018 and sale began on March 23, 2018. 
As with all of the Canon EOS M series cameras, the M50 uses the Canon EF-M lens mount. An adapter is available for use with Canon EF lenses. The camera, as well as some lenses, are available in either black or silver.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/2018_04_EOS_M50_IMG_4611b.jpg/330px-2018_04_EOS_M50_IMG_4611b.jpg,0
Canon EOS R,Canon,2018,https://en.wikipedia.org/wiki/Canon_EOS_R,2025-08-27T22:49:37.889559,2018,,CMOS,,"6,720×4,480",,9 October 2018cite web urlhttps//www.trustedreviews.com/news/canon-eos-r-camera-release-date-specs-price-3552319 lastWilson firstMark titleCanon EOS R all you need to know about Canons full-frame mirrorless camera websiteTrusted Reviews date2018-09-05 access-date2024-03-01 archive-date2024-03-01 archive-urlhttps//web.archive.org/web/20240301220605/https//www.trustedreviews.com/news/canon-eos-r-camera-release-date-specs-price-3552319 url-statuslive ,ISO 100,,$2299,[[Canon RF mountCanon RF]],,"The Canon EOS R is the first full-frame mirrorless interchangeable-lens camera (MILC) produced by Canon.  It was announced days after Nikon's first full-frame MILC, the  Nikon Z7, and five years after Sony's first, and was released in October 2018.  The camera is the first of Canon's new EOS R system, and the first to use the RF lens mount. The ""R"" stands for ""Reimagine optical excellence"".  
The EOS R features a 30.3 megapixel CMOS sensor, an OLED viewfinder and an articulating LCD touchscreen.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Canon_EOS_R.jpg/330px-Canon_EOS_R.jpg,5
Fujifilm X-A5,Fujifilm,2018,https://en.wikipedia.org/wiki/Fujifilm_X-A5,2025-08-27T22:49:37.889561,2018,,CMOS,,6000×4000,,31 January 2018,,,,[[Fujifilm X-mountFujifilm X]],[[SD card]],"The Fujifilm X-A5 is a rangefinder-style digital mirrorless interchangeable lens camera (MILC) by Fujifilm, which was released on February 15, 2018.
The X-A7 succeeds the X-A5. The X-A7 was announced on September 12, 2019.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Fujifilm_X-A5_8_Jun_2018d.jpg/330px-Fujifilm_X-A5_8_Jun_2018d.jpg,3
Fujifilm X-H1,Fujifilm,2018,https://en.wikipedia.org/wiki/Fujifilm_X-H1,2025-08-27T22:49:37.889564,2018,,CMOS,,6000×4000,,Start date and age20180215dfyesbryes,,,,[[Fujifilm X-mountFujifilm X]],"Dual slot [[SD CardSD]], [[SDHC]], [[SDXC]] [[Ultra High SpeedUHS-I]], [[Ultra High SpeedUHS-II]]","The Fujifilm X-H1 is a larger mirrorless interchangeable-lens digital camera announced on February 15, 2018, by Fujifilm. It has a backside-illuminated X-Trans CMOS III APS-C sensor and an X-Processor III processor that uses the Fujifilm X-mount. The X-H1 is a weather-resistant camera with an in-body image stabilization capable of recording 4K videos up to 30 fps with a Rec.2020 color gamut at a bitrate of 200 Mbit/s. The camera can record slow motion videos in 1080p at 120 fps.
The X-H1 is mean",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Fujifilm_X-H1_17_feb_2018c.jpg/330px-Fujifilm_X-H1_17_feb_2018c.jpg,3
Fujifilm X-T3,Fujifilm,2018,https://en.wikipedia.org/wiki/Fujifilm_X-T3,2025-08-27T22:49:37.889566,2018,,CMOS,,6240×4160,,Start date and age20180906,,,,[[Fujifilm X-mountFujifilm X]],"Dual Slot [[SD CardSD]], [[SDHC]], [[SDXC]] [[Video Speed ClassV90]], [[Ultra High SpeedUHS-II]], [[Ultra High SpeedUHS-I]]","The Fujifilm X-T3 is a mirrorless interchangeable-lens digital camera announced on September 6, 2018. It is weather-resistant, has a backside-illuminated X-Trans CMOS 4 APS-C sensor and an X-Processor 4 quad core processor. It is the successor to 2016's Fujifilm X-T2. It uses the Fujifilm X-mount.
The X-T3 is capable of recording video in 4K resolution up to 60 fps. The X-T3 is intended to be sold new either as the camera body only, or with the 18-55 mm lens. The camera is available in 2 colors,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Fujifilm_X-T3_7_sep_2018g.jpg/330px-Fujifilm_X-T3_7_sep_2018g.jpg,3
Fujifilm X-T100,Fujifilm,2018,https://en.wikipedia.org/wiki/Fujifilm_X-T100,2025-08-27T22:49:37.889568,2018,,CMOS,,6000×4000,,Start date and age20180621,,,,[[Fujifilm X-mountFujifilm X]],"[[SD CardSD]], [[SDHC]], [[SDXC]] ([[Ultra High SpeedUHS]]-I)","The Fujifilm X-T100 is a mid-range mirrorless interchangeable-lens camera announced on May 24, 2018. The X-T100 is largely based on the Fujifilm X-A5 and is nearly identical to the X-T20. It uses the Fujifilm X-mount.
The X-T100 is capable of recording video in 4K resolution with only 15 fps. The X-T100 is intended to be sold new either as the camera body only, or with the 15-45mm f/3.5-5.6 OIS PZ lens. The camera is available in 3 colors, black, dark silver and champagne gold and is styled afte",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Fujifilm_X-T100_8_Jun_2018b.jpg/330px-Fujifilm_X-T100_8_Jun_2018b.jpg,3
Leica M10,Leica,2018,https://en.wikipedia.org/wiki/Leica_M10,2025-08-27T22:49:37.889571,2018,,CMOS,,,,,,,"$6,495",,"[[Secure DigitalSD]], [[Secure DigitalSDHCSDHC]], [[Secure DigitalSDXCSDXC]]","The Leica M10 is a full-frame digital rangefinder camera in Leica Camera AG's rangefinder M series. It accepts Leica M-mount lenses. The camera model was introduced on 19 January 2017. It is a successor to the Leica M (Typ 240); and has similarities to and differences from the Leica M (Typ 240), Leica M (Typ 262), and Leica M Monochrom. There are five variants of the M10 line—the M10, M10-P, M10-D, and M10 Monochrom and M10-R.",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Leica_M10_black.jpg/330px-Leica_M10_black.jpg,2
Leica M10-D,Leica,2018,https://en.wikipedia.org/wiki/Leica_M10-D,2025-08-27T22:49:37.889573,2018,,CMOS,,5952×3992,660 g,,,,,Leica M-mount,,"The Leica M10-D is a digital rangefinder camera released by Leica Camera on 24 October 2018. The M10-D succeeds the Leica M-D (Typ 262) in the Leica no-LCD screen line of digital cameras. Otherwise the M10-D is similar to the Leica M10.
In comparison with the M10, instead of the rear screen, the back contains an exposure compensation dial in black. Unlike the M-D (Typ 262), the M10-D has a dedicated ISO dial on the top plate. The M10-D also has a film advance lever, which functions only as a sty",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Leica_M10-D_%28Typ_9217%29.jpg/330px-Leica_M10-D_%28Typ_9217%29.jpg,3
Nikon Coolpix P1000,Nikon,2018,https://en.wikipedia.org/wiki/Nikon_Coolpix_P1000,2025-08-27T22:49:37.889598,2018,,CMOS,,4608×3456,,"September 6, 2018",,,,,,"The Nikon Coolpix P1000 is a superzoom digital bridge camera produced by Nikon, released on September 6, 2018. It has a 125× optical zoom, its focal range going from 24 mm to 3000 mm 35 mm equivalent focal length. As of September 2023, it is the greatest-zooming bridge camera available, surpassing its predecessor, the Nikon Coolpix P900.
On February 4, 2025, Nikon officially announced its replacement by the new Nikon Coolpix P1100. Nikon ended production of the P1000 the following month.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Nikon_COOLPIX_P1000.jpg/330px-Nikon_COOLPIX_P1000.jpg,3
Nikon D3500,Nikon,2018,https://en.wikipedia.org/wiki/Nikon_D3500,2025-08-27T22:49:37.889601,2018,,CMOS,,"6,000×4,000",,,,,,,,"The Nikon D3500 is an entry-level 24.2-megapixel DX format DSLR Nikon F-mount camera announced by Nikon on August 30, 2018. As of September 2018, the D3500 was available with two kits: with an 18-55mm f/3.5-5.6G VR lens for $499.95 and a two lens kit (18-55mm f/3.5-5.6G VR and 70-300mm f/4.5-6.3G lenses) for $849.95. It succeeded the Nikon D3400. In 2019, the D3500 won the TIPA Best DSLR Camera award.
Following its decision in early 2021 to ""archive"" both the D3500 and D5600 in Japan while conti",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Nikon_D3500_%28crop_filter_retouch%29.jpg/330px-Nikon_D3500_%28crop_filter_retouch%29.jpg,2
Nikon Z6,Nikon,2018,https://en.wikipedia.org/wiki/Nikon_Z6,2025-08-27T22:49:37.889603,2018,,CMOS,,6048×4024,,Start date and age20181116dfyesbryes,ISO 100-51,,"$1,999.95",[[Nikon Z-mount]],,"The Nikon Z6 is a full-frame mirrorless interchangeable-lens camera produced by Nikon. The camera was officially announced on August 23, 2018, to be released in November. Nikon began shipping the Z6 to retailers on November 16, 2018. This was the second camera to use Nikon's new Z-mount system after the release of the 45.75 megapixel Nikon Z7 in September 2018.
This more-affordable 24.5 mega-pixel full-frame model offers nearly all of the same specifications as the Z7. Aside from the lower resol",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Nikon_Z_6_with_Nikon_Z_24-70_f4_S_front_left.jpg/330px-Nikon_Z_6_with_Nikon_Z_24-70_f4_S_front_left.jpg,5
Nikon Z7,Nikon,2018,https://en.wikipedia.org/wiki/Nikon_Z7,2025-08-27T22:49:37.889606,2018,,CMOS,,8256×5504,585g,Start date and age2018927,ISO 64–25600,,,[[Nikon Z-mount]],,"The Nikon Z7 is a 45.7 megapixel full-frame mirrorless interchangeable-lens camera produced by Nikon. The camera was officially announced on August 23, 2018, for release in September 2018. It was the first camera to use Nikon's new Z-mount system; the second model, released in November 2018, was the 24.5 megapixel Nikon Z6.
Three Z-mount lenses were available by December 2018, the Nikkor Z 24-70 mm f/4 S, the 35 mm f/1.8 S and the 50 mm f/1.8 S, all three covering a full-frame (FX) image size. T",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Nikon_Z7_oblique.jpg/330px-Nikon_Z7_oblique.jpg,5
Panasonic Lumix DC-GH5S,Panasonic,2018,https://en.wikipedia.org/wiki/Panasonic_Lumix_DC-GH5S,2025-08-27T22:49:37.889608,2018,,CMOS,,,660 g,January 2018,ISO 160,,,[[Micro Four Thirds system]] mount,,The Panasonic Lumix DC-GH5S is a Micro Four Thirds mirrorless interchangeable lens camera body announced and released by Panasonic in January 2018.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/GH5S.Offen.2.jpg/330px-GH5S.Offen.2.jpg,4
Panasonic Lumix DC-GX9,Panasonic,2018,https://en.wikipedia.org/wiki/Panasonic_Lumix_DC-GX9,2025-08-27T22:49:37.889611,2018,,CMOS,,5184×3888,,March 2018,ISO 200–25600,,,[[Micro Four Thirds]],,"The Panasonic Lumix DC-GX9 (known as the Lumix DC-GX7MK3 in Japan) is a digital rangefinder-styled mirrorless interchangeable-lens camera announced by Panasonic in February 2018.
Described as ""most readily compared to the GX80,"" it features a 20 megapixel sensor, 5-axis image stabilization, Depth from Defocus (DFD) contrast-detect AF, a 3.0-inch tiltable touchscreen LCD and a tilting 2.76M-dot electronic viewfinder. The camera's ISO range is from 200 to 25600 and it features up to 6 frames per s",https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Panasonic_gx9_01.jpg/330px-Panasonic_gx9_01.jpg,4
Sony α7 III,Sony,2018,https://en.wikipedia.org/wiki/Sony_α7_III,2025-08-27T22:49:37.889616,2018,,CMOS,,24MP,,"April 10, 2018",,,"$1,999",[[Sony E-mount]],,"The Sony α7 III (model ILCE-7M3) is a full-frame mirrorless interchangeable-lens camera manufactured by Sony. It was announced on 26 February 2018 as the successor to the Sony α7 II and available April 10, 2018. Described by Sony as ""the basic model,"" the camera shares many features with the high-end Sony α7R III and α9 models. It was succeeded by the Sony α7 IV, announced on October 21, 2021.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Sony_Alpha7_III_20_apr_2018f.jpg/330px-Sony_Alpha7_III_20_apr_2018f.jpg,4
Canon EOS 250D,Canon,2019,https://en.wikipedia.org/wiki/Canon_EOS_250D,2025-08-27T22:49:38.414987,2019,,CMOS,,6000×4000,,,,,,,[[Secure DigitalSD]]/SDHC/SDXC card,The Canon EOS 250D is a 24.1 megapixel entry-level digital single-lens reflex camera (DSLR) made by Canon. It was announced on 10 April 2019 with a suggested retail price of €549. It is also known as the EOS Kiss X10 in Japan and the EOS Rebel SL3 in North America and the EOS 200D Mark II in Australia and Asia.,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Canon_EOS_Kiss_X10_11_May_2019a.jpg/330px-Canon_EOS_Kiss_X10_11_May_2019a.jpg,2
Canon EOS M6 Mark II,Canon,2019,https://en.wikipedia.org/wiki/Canon_EOS_M6_Mark_II,2025-08-27T22:49:38.415008,2019,,,,,,,,,,,,"The Canon EOS M6 Mark II is a digital mirrorless interchangeable-lens camera announced by Canon on August 28, 2019, and released in September 2019. As with all of the Canon EOS M series cameras, the Canon EOS M6 Mark II uses the Canon EF-M lens mount. The M6 Mark II is the successor of both the M5 (2016) and the M6 (2017).
The characteristic basic features are the same as with the M6: the camera lacks a built-in viewfinder. Users can purchase an additional electronic viewfinder (Canon EVF-DC1 or",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Canon_EOS_M6_Mark_II%2C_01.jpg/330px-Canon_EOS_M6_Mark_II%2C_01.jpg,0
Canon EOS M200,Canon,2019,https://en.wikipedia.org/wiki/Canon_EOS_M200,2025-08-27T22:49:38.415012,2019,,,,,,,,,,,,"The Canon EOS M200 is a digital mirrorless interchangeable-lens camera first announced by Canon Inc. on September 25, 2019. Canon EOS M200 incorporates the proprietary image processor that allows the camera to capture still images up to 6.1 fps using the fixed focus and 4 fps burst mode. The EOS M200 can be connected to all EF, EF-S and TS-E lenses with an available adapter.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Canon_EOS_M200.jpg/330px-Canon_EOS_M200.jpg,0
Canon EOS RP,Canon,2019,https://en.wikipedia.org/wiki/Canon_EOS_RP,2025-08-27T22:49:38.415014,2019,,CMOS,,6240×4160,,Start date and age20190314dfyesbryes,ISO 100 – 40,,,[[Canon RF mountCanon RF]],,"The Canon EOS RP is a 26.2-megapixel full-frame mirrorless interchangeable-lens camera launched by Canon in March 2019. The camera is reported to be the least expensive digital full-frame camera to be produced. In addition to the standard black model, 5000 units of a limited edition gold model were sold in Japan to commemorate the Tokyo 2020 Olympic Games.

",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Canon_RP_%2B_35mm.jpg/330px-Canon_RP_%2B_35mm.jpg,4
Fujifilm GFX100,Fujifilm,2019,https://en.wikipedia.org/wiki/Fujifilm_GFX100,2025-08-27T22:49:38.415017,2019,,,,,,,,,,,,"The Fujifilm GFX100 is a mirrorless medium format camera produced by Fujifilm. It is the flagship model of the GFX Series of mirrorless digital cameras and the third camera with the Fujifilm G-mount. The camera comes in two versions, the regular GFX100 and the GFX100 IR.
The GFX100 won the Japanese 2020 Camera Grand Prix (ja:カメラグランプリ) Editors Award.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Fujifilm_GFX100_26_oct_2019a.jpg/330px-Fujifilm_GFX100_26_oct_2019a.jpg,0
Fujifilm X-A7,Fujifilm,2019,https://en.wikipedia.org/wiki/Fujifilm_X-A7,2025-08-27T22:49:38.415019,2019,,CMOS,,6000×4000,,"September 12, 2019",,,,[[Fujifilm X-mountFujifilm X]],[[SD card]],"The Fujifilm X-A7 is an entry-level rangefinder-styled digital mirrorless camera announced by Fujifilm on September 12, 2019. The camera was available with a 15-45mm lens starting October 24, 2019.
The X-A7 is the latest release of the series.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Fujifilm_X-A7_26_oct_2019a.jpg/330px-Fujifilm_X-A7_26_oct_2019a.jpg,3
Fujifilm X-Pro3,Fujifilm,2019,https://en.wikipedia.org/wiki/Fujifilm_X-Pro3,2025-08-27T22:49:38.415022,2019,,CMOS,,6240×4160,,"October 23, 2019",,,,[[Fujifilm X-mountFujifilm X]],[[SD card]],"The Fujifilm X-Pro3 is a mirrorless interchangeable-lens digital camera announced on October 23, 2019. It is part of Fujifilm's X-Series of cameras, the successor to the X-Pro2. Sales began on November 28, 2019.
X-Pro3 is the latest release of the series.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Fujifilm_X-Pro3_26_oct_2019a.jpg/330px-Fujifilm_X-Pro3_26_oct_2019a.jpg,3
